id,pair,sentence,label,resolution
51,pair1,មិត្តភក្តិខ្លះស្គាល់យើងពេលយើងមានលុយ ពេលយើងអាចជួយគេបាន ពេលគេអាចពឹងយើងបាន ប៉ុន្តែពេលយើងលំបាកខ្លាំងពួកគេក៏បាត់ទៅណាអស់។,negative,annotators agreed
52,pair1,អ៊ីចឹងខួរក្បាលយើងត្រូវការអ៊ុកស៊ីហ្សែនគឺអត់ទទួលបានគ្រប់គ្រាន់ទេ មិនថាចិញ្ចឹមខួរក្បាល បេះដូង និងសរីរាង្គផ្សេងៗ អត់គ្រប់គ្រាន់ទេ។,negative,corpus label used
53,pair1,ការងារមានស្ថិរភាព ហើយអ្នកអាចទទួលបានសមិទ្ធផលជាក់លាក់ក្នុងអាជីពរបស់អ្នក ធានាជីវិតរបស់អ្នក។,positive,annotators agreed
54,pair1,សវនាការលើកទី៦១ នេះ ជាសវនាការលើកទី២ ដែលតុលាការប្រើពេលពេញមួយថ្ងៃដេញដោលសាក្សី។,neutral,annotators agreed
55,pair1,អង្គការសុខភាពពិភពលោកបានព្យាករណ៍ថាតួលេខនេះនឹងកើនឡើងគួរឱ្យកត់សម្គាល់ក្នុងរយៈពេលប៉ុន្មានឆ្នាំខាងមុខនេះ។,neutral,annotators agreed
56,pair1,ពួកគេបាននិយាយថា ពួកគេត្រូវបានបង្ខំឱ្យធ្វើការ ហើយមិនបានបើកប្រាក់ខែ ទើបពួកគេសម្រេចចិត្តរត់ចេញទៅប្រទេសវៀតណាម។,negative,annotators agreed
57,pair1,ជុំវិញបញ្ហានេះ Lionel Messi ត្រូវបានកាសែតអាម៉េរិក ESPN ដកស្រង់សម្តីថា «ការប្រកួត World Cup នាប្រទេសកាតា នឹងក្លាយជាការប្រកួតចុងក្រោយរបស់ខ្ញុំ ក្នុងក្រុមជម្រើសជាតិអាហ្សង់ទីន»។,neutral,annotators agreed
58,pair1,រដ្ឋាភិបាលកំពុងធ្វើការអភិវឌ្ឍភូមិធម្មជាតិរុនតាឯកថ្មី លើដីទំហំ១ ១១២ហិកតា ក្នុងឃុំរុនតាឯក សម្រាប់ឱ្យប្រជាពលរដ្ឋដែលកំពុងរស់នៅខុសច្បាប់ក្នុងតំបន់រមណីយដ្ឋានអង្គរ ស្ម័គ្រចិត្តដោះដូរទៅរស់នៅតំបន់នេះវិញ។,positive,corpus label used
59,pair1,ដោយសារការយល់ឃើញរបស់សាធារណជនបានផ្លាស់ប្តូរ ក្រុមហ៊ុនធានារ៉ាប់រង ក៏កំពុងរក្សាល្បឿន ជាមួយនឹងនិន្នាការផ្លាស់ប្តូរនេះដែរ។,neutral,annotators agreed
60,pair1,សាលាអន្តរជាតិសិង្ហបុរី (SCIA) ព្យាយាមនាំមកនូវការអប់រំស្តង់ដាសិង្ហបុរីដែលមានគុណភាពខ្ពស់មកកាន់រាជធានីភ្នំពេញ។,positive,annotators agreed
61,pair1,ទន្ទឹមនឹងជំនន់ទឹកភ្លៀងនេះដែរ ក្រសួងធនធានទឹក និងឧតុនិយម នៅថ្ងៃទី៤ ខែតុលា ឆ្នាំ២០២២ ក៏បានអំពាវនាវឱ្យប្រជាពលរដ្ឋ បន្តប្រុងប្រយ័ត្នចំពោះបាតុភូតធម្មជាតិ ដែលអាចកើតមានឡើងជាយថាហេតុ។,positive,corpus label used
62,pair1,ការស្វែងយល់ពីទំនាក់ទំនង នៃគោលដៅអភិវឌ្ឍន៍សហ្សវត្យរ៍នីមួយៗ ហើយនឹងតម្រូវការនៃចំណេះដឹង និងការយល់ឃើញដូចគ្នា នៅកម្រិតប្រទេសគឺជាកត្តាសំខាន់សម្រាប់ដោះស្រាយបញ្ហានេះ។,positive,corpus label used
63,pair1,កាលពីចុងខែមិថុនា ឆ្នាំ២០២២ លោក ស ខេង ក៏ធ្លាប់បានបង្ហាញការព្រួយបារម្ភ ខ្លាចអន្តរជាតិដាក់ធនាគារជាតិនៃកម្ពុជាក្នុងបញ្ជីខ្មៅ ដែលជាហេតុធ្វើឱ្យប្រឈមហានិភ័យធំធេងផ្នែកសេដ្ឋកិច្ចនិងនយោបាយផងដែរ។,negative,annotators agreed
64,pair1,នេះបើយោងតាមអនុស្សរណៈរបស់សេតវិមាន ដែលផ្ញើទៅកាន់ក្រសួងការបរទេសកាលពីថ្ងៃទី១៥ ខែកញ្ញា។,neutral,annotators agreed
65,pair1,នេះរួមបញ្ចូលទាំងការប្រើវាសម្រាប់មើលអ៊ីម៉ែល ឬជជែកជាមួយមិត្តភក្តិមុនចូលគេង សូម្បីតែនៅពេលដែលបិទភ្លើងហើយក៏ដោយ។,neutral,annotators agreed
66,pair1,គាត់ក៏បានសម្រេចចិត្តជួយប្រជាជនទាំងអស់ដោយវិធីបាញ់ព្រួយទំលាក់ព្រះអាទិត្យទាំងនោះ។,neutral,annotators agreed
67,pair1,សូមបញ្ជាក់ថា ពិពណ៌បច្ចេកវិទ្យាកម្ពុជា ឆ្នាំ២០២២ ត្រូវរៀបចំឡើងដោយ ក្រសួងឧស្សាហកម្ម វិទ្យាសាស្តរ បច្ចេកវិទ្យា និងនវានុវត្តន៍។,neutral,corpus label used
68,pair1,តាមរយៈភរិយារបស់ខ្ញុំ ខ្ញុំបានដឹងហើយចំពោះការមកដល់របស់លោកនៅទីនេះ,neutral,annotators agreed
69,pair1,លោកបានកោតសរសើរកិច្ចខិតខំប្រឹងប្រែងលើ «ការដឹកនាំមុខក្នុងរយៈពេលវែង ដូចជាការរាំងស្ទះដល់ខ្សែចង្វាក់ផ្គត់ផ្គង់ និងកង្វះកម្លាំងពលកម្មក្នុងវិស័យសំណង់ដ៏រ៉ាំរ៉ៃ» ដែលកំពុងរារាំងការសាងសង់លំនៅឋាន៕,positive,corpus label used
70,pair1,ដរាបណាយើងមិនបានតាំងចិត្តខិតខំប្រឹងរៀន ប្រឹងធ្វើលំហាត់ជារៀងរាល់ថ្ងៃតាំងពីដើមឆ្នាំទេ នោះនិទ្ទេស A ក៏គ្មានថ្ងៃក្លាយជារបស់យើងដែរ។,negative,corpus label used
71,pair1,ក្មេងជំទង់ដែលមានអាយុពី១២ ទៅ ១៨ ឆ្នាំ នាំមុខគេក្នុងការមិនបំពេញកាតព្វកិច្ចសុខភាពរបស់ពួកគេក្នុងការទទួលការចាក់វ៉ាក់សាំងបង្ការប្រឆាំងនឹងកូវីដ-១៩ និងវីរុសបំលែង។,negative,corpus label used
72,pair1,"និយតករធានារ៉ាប់រងកម្ពុជា (IRC) តួលេខដ៏ល្អប្រសើរគឺបញ្ជាក់អំពីការ-បន្តរីកចម្រើននៃឧស្សាហកម្មនេះ ជាមួយនឹងតម្លៃនៃបុព្វលាភសរុបនៅឆ្នាំ២០២១ ឈានដល់ ២៩៣លានដុល្លារ ពោលគឺកើនឡើងចំនួន ៩,៥ ភាគរយ ធៀបនឹងឆ្នាំ២០២០។",positive,corpus label used
73,pair1,ការប្រារព្ធទិវាផងដែរ គឺក្នុងគោលបំណងបំផុសឡើងវិញនូវវប្បធម៌ និងប្រពៃណីនៃការរម្លឹកគុណូបការៈរបស់សិស្សចំពោះគ្រូបង្រៀននៅទូទាំងប្រទេស៕,positive,annotators agreed
74,pair1,ធ្ងន់ធ្ងរជាងនេះទៅទៀត គឺភាគឺ កឹម សុខា ក៏មិនស្វាគមន៍ឲ្យ សម រង្ស៊ី បន្តស៊ីឡាកដើម្បីកេងចំណេញទៀតដែរ។,negative,corpus label used
75,pair1,លោក Nolnabhas Yaemsa-ard នាយកផ្នែកយុទ្ធសាស្តររបស់មន្ទីរពេទ្យ Pat Rangsit បានប្រាប់ពីពេលមុនថា ពួកលោកចុះមកពេលនោះ គ្រាន់តែក្នុងគោលបំណងស្ទាបស្ទង់ទីផ្សារប៉ុណ្ណោះ។,neutral,corpus label used
76,pair1,ចំពោះប្រភេទទូទៅបំផុតនៃការគេងមិនដកដង្ហើមផ្លូវខ្យល់ក្លាយជាស្ទះឬត្បៀតអំឡុងពេលគេង។,neutral,annotators agreed
77,pair1,ហួសចិត្ត !! ឃើញម៉ូតូគេទុកចោលមុខផ្ទះធ្វើសកម្មភាពលួចតែសំណាងមិនល្អ ត្រូវសមត្ថកិច្ចក្របួចបានមកវិញ,negative,corpus label used
78,pair1,កាំជ្រួចមីស៊ីលផ្លោងរយៈចម្ងាយខ្លី (SRBMs) ថ្មីៗបំផុតរបស់កូរ៉េខាងជើង ត្រូវបានរចនាឡើងដើម្បីហោះហើរលើគន្លងទាប ហើយមានសក្តានុពលសមយុទ្ធ ដែលបង្កភាពស្មុគស្មាញក្នុងការស្វែងរក និងស្ទាក់ចាប់ពួកវា។,negative,annotators agreed
79,pair1,ស្ថាប័នទាំងនេះមានអ្នកជំនាញឃ្លាំមើលសវនាការរបស់ពួកគេ ដែលជាអ្នកឃ្លាំមើលដោយឯករាជ្យ ចាំតាមដានឃ្លាំមើលសវនការរបស់កញ្ញា សេង ធារី។,negative,annotators agreed
80,pair1,បើទោះបីជាពួកគេអះអាងថា មានការបោះឆ្នោតគាំទ្រគំនិតនោះក៏ដោយ។,neutral,annotators agreed
81,pair1,លើសពីនោះ លោក ពូទីន បាននិយាយដោយញញឹមថា៖អាជ្ញាធរក្រុងកៀវបានប្រកាសថា ពួកគេបានបើកដំណើរការ និងកំពុងធ្វើប្រតិបត្តិការប្រឆាំងយ៉ាងសកម្ម។,negative,corpus label used
82,pair1,ខណៈដែលព្រះនាងយាងទៅដល់ក្រោមដើមសាលព្រឹក្សមួយដើមខ្យល់កម្មជ្ជវាតក៏បណ្តាលកម្រើកឡើងនៅក្នុងព្រះឧទរនៃព្រះនាង។,neutral,corpus label used
83,pair1,បំណកប្រែតាមន័យសុទ្ធបែបនេះ ច្រើនត្រូវបានអនុវត្តចំពោះ កិច្ចសន្យា លិខិតពាណិជ្ជកម្ម លិខិតច្បាប់ផ្សេងៗ ដូចជាសន្ធិសញ្ញា រវាងពីរប្រទេសជាដើម។,neutral,annotators agreed
84,pair1,ណាវីគ្រវីក្បាលដោយទឹកមុខស្ងួត,neutral,annotators agreed
85,pair1,អ្នកខ្លះតម្រង់ទៅថតរូបផ្តិតយកទេសភាពដ៏ល្អឆើតឆាយនៃស្រុកខ្មែរ ពេលគយគន់ពីចំណោតថ្មនៃពយតាឌី។,positive,corpus label used
86,pair1,ក្រោយមកអ្នកគ្រប់គ្រងកម្មវិធី និងជាចាងហ្វាងផលិតកម្មមហាហង្ស លោក អ៊ិន សុភិន បានចេញលិខិតបំភ្លឺសុំទោស នៅថ្ងៃទី២៥ ខែសីហា ឆ្នាំ២០២២ ប៉ុន្តែបានបង្កកំហុសឆ្គងម្តងទៀត...។,positive,annotators agreed
87,pair1,នោះហើយទើបជាទំនាក់ទំនងដែលគង់វង្សយូរអង្វែង និងគួរឱ្យស្ញប់ស្ញែងសម្រាប់ខ្ញុំ។,positive,corpus label used
88,pair1,(ភ្នំពេញ)៖ រយៈពេលលើស២៤ម៉ោងហើយដែលទណ្ឌិត សម រង្ស៊ី មិនទាន់បានឆ្លើយតបជាផ្លូវការថា តើខ្លួនហ៊ាន ឬមិនហ៊ានទទួលយកការបបួលភ្នាល់របស់លោក ហ៊ុន ម៉ាណែត ឬអត់ ខណៈដែលអ្នកនៅជុំវិញទណ្ឌិត សម រង្ស៊ី បានបដិសេធសំណើសុំភ្នាល់នេះរួចហើយ។,negative,corpus label used
