id,pair,sentence,label
63,pair1,កាលពីចុងខែមិថុនា ឆ្នាំ២០២២ លោក ស ខេង ក៏ធ្លាប់បានបង្ហាញការព្រួយបារម្ភ ខ្លាចអន្តរជាតិដាក់ធនាគារជាតិនៃកម្ពុជាក្នុងបញ្ជីខ្មៅ ដែលជាហេតុធ្វើឱ្យប្រឈមហានិភ័យធំធេងផ្នែកសេដ្ឋកិច្ចនិងនយោបាយផងដែរ។,negative
64,pair1,នេះបើយោងតាមអនុស្សរណៈរបស់សេតវិមាន ដែលផ្ញើទៅកាន់ក្រសួងការបរទេសកាលពីថ្ងៃទី១៥ ខែកញ្ញា។,neutral
65,pair1,នេះរួមបញ្ចូលទាំងការប្រើវាសម្រាប់មើលអ៊ីម៉ែល ឬជជែកជាមួយមិត្តភក្តិមុនចូលគេង សូម្បីតែនៅពេលដែលបិទភ្លើងហើយក៏ដោយ។,neutral
66,pair1,គាត់ក៏បានសម្រេចចិត្តជួយប្រជាជនទាំងអស់ដោយវិធីបាញ់ព្រួយទំលាក់ព្រះអាទិត្យទាំងនោះ។,neutral
68,pair1,តាមរយៈភរិយារបស់ខ្ញុំ ខ្ញុំបានដឹងហើយចំពោះការមកដល់របស់លោកនៅទីនេះ,neutral
73,pair1,ការប្រារព្ធទិវាផងដែរ គឺក្នុងគោលបំណងបំផុសឡើងវិញនូវវប្បធម៌ និងប្រពៃណីនៃការរម្លឹកគុណូបការៈរបស់សិស្សចំពោះគ្រូបង្រៀននៅទូទាំងប្រទេស៕,positive
76,pair1,ចំពោះប្រភេទទូទៅបំផុតនៃការគេងមិនដកដង្ហើមផ្លូវខ្យល់ក្លាយជាស្ទះឬត្បៀតអំឡុងពេលគេង។,neutral
78,pair1,កាំជ្រួចមីស៊ីលផ្លោងរយៈចម្ងាយខ្លី (SRBMs) ថ្មីៗបំផុតរបស់កូរ៉េខាងជើង ត្រូវបានរចនាឡើងដើម្បីហោះហើរលើគន្លងទាប ហើយមានសក្តានុពលសមយុទ្ធ ដែលបង្កភាពស្មុគស្មាញក្នុងការស្វែងរក និងស្ទាក់ចាប់ពួកវា។,negative
79,pair1,ស្ថាប័នទាំងនេះមានអ្នកជំនាញឃ្លាំមើលសវនាការរបស់ពួកគេ ដែលជាអ្នកឃ្លាំមើលដោយឯករាជ្យ ចាំតាមដានឃ្លាំមើលសវនការរបស់កញ្ញា សេង ធារី។,negative
80,pair1,បើទោះបីជាពួកគេអះអាងថា មានការបោះឆ្នោតគាំទ្រគំនិតនោះក៏ដោយ។,neutral
83,pair1,បំណកប្រែតាមន័យសុទ្ធបែបនេះ ច្រើនត្រូវបានអនុវត្តចំពោះ កិច្ចសន្យា លិខិតពាណិជ្ជកម្ម លិខិតច្បាប់ផ្សេងៗ ដូចជាសន្ធិសញ្ញា រវាងពីរប្រទេសជាដើម។,neutral
84,pair1,ណាវីគ្រវីក្បាលដោយទឹកមុខស្ងួត,neutral
86,pair1,ក្រោយមកអ្នកគ្រប់គ្រងកម្មវិធី និងជាចាងហ្វាងផលិតកម្មមហាហង្ស លោក អ៊ិន សុភិន បានចេញលិខិតបំភ្លឺសុំទោស នៅថ្ងៃទី២៥ ខែសីហា ឆ្នាំ២០២២ ប៉ុន្តែបានបង្កកំហុសឆ្គងម្តងទៀត...។,positive
90,pair1,ដោយឡែកមូលដែលធ្វើឱ្យស្ពានយោលត្រូវទឹកគួចដាច់ទាំងស្រុងនេះ គឺបណ្តាលមកពីភ្លៀងខាងលើខ្លាំងហើយនាំមកនូវសំរាមឈើធំៗមកជាប់នឹងសំណាញ់ដៃស្ពាន ទើបដាច់ទៅទាំងផ្ទាំងតែម្តង។,negative
91,pair1,ភ្លៀងធ្លាក់ខ្លាំងតាមរដូវម្តងទៀត បានវាយលុកភាគពាយព្យនៃប្រទេសថៃកាលពីថ្ងៃអាទិត្យទី ៩ ខែតុលា បណ្តាលឱ្យមានទឹកជំនន់បន្តរីករាលដាល ជាពិសេសនៅតំបន់ភាគខាងជើងឆៀងខាងកើត និងកណ្តាល។,negative
92,pair1,បើតាមលោក អំ សំអាត អ្នកស្រី ចក់ សុភាព ត្រូវបានអយ្យការចោទសួរអំពីប្រភពមូលនិធិដែលត្រូវបានផ្តល់ជូនមជ្ឈមណ្ឌលសិទ្ធិមនុស្សកម្ពុជា អំឡុងពេលអ្នកស្រីបំពេញការងារជាមួយលោក កឹម សុខា។,negative
96,pair1,សូមរំលឹកផងដែរថា កាលពីថ្ងៃទី៨ ខែតុលា ឆ្នាំ២០២២ លោក វេង សាខុន ត្រូវបានព្រះករុណា ព្រះបាទសម្តេច ព្រះបរមនាថ នរោត្តម សីហមុនី ព្រះមហាក្សត្រនៃកម្ពុជា បានចេញព្រះរាជក្រឹត្យបញ្ចប់មុខតំណែងលោក វេង សាខុន ពីរដ្ឋមន្រតីក្រសួងកសិកម្ម រុក្ខាប្រមាញ់ និងនេសាទ...៕,negative
98,pair1,កាត់បន្ថយបុគ្គលគ្រាប់ល្ពៅនឹងមន្រតីគ្រាប់ល្ពៅមិនងាយអស់ទេអូនស្រីអើយ អូនជាអ្នកចេះដឹងកុំខ្វល់រឿងឥតប្រយោជន៍អី ខ្ញុំរង់ចាំមើល video អូនគ្រប់ពេលណា,negative
101,pair1,"ព្រះអង្គជ័យ ស្តេចទ្រង់ទសពិធរាជធម៌ ប្រសើរណាស់, អាណាប្រជានុរាស្តរក្នុងព្រះនគរបានសុខក្សេមក្សាន្ត ឥតមានសឹកសត្រូវអ្វីឡើយ។",positive
109,pair1,បើសិនជាមានរឿងនេះមេបាខ្លះគេប្រកាន់ គេនឹងទៅតាមកាច់សមាជិកគ្រួសារណាម្នាក់ឲ្យឈឺ រហូតតាមរកស្រតីប្រព្រឹត្តកំហុសនោះឃើញតាមរយៈបូលពងមាន់។,negative
117,pair1,សម្រាប់អ្នកឃ្លាំមើល ការកាត់ទោសដោយពិន័យជាប្រាក់រហូតដល់៧៥ម៉ឺនដុល្លារ «ពីបទបរិហាកេរ្តិ៍»នោះ គឺជាដាក់សម្ពាធទៅលើគណបក្សប្រឆាំងមុនការបោះឆ្នោតថ្នាក់ជាតិមកដល់។,negative
118,pair1,(ខេត្តបាត់ដំបង)៖ ប្រធានគណៈបញ្ជាការឯកភាពរដ្ឋបាលខេត្ត និងជាអភិបាលខេត្តបាត់ដំបង ឯកឧត្តម សុខ លូ បានដាក់បញ្ជាជាថ្មីដល់រដ្ឋបាលស្រុកពាក់ព័ន្ធទាំងអស់ បន្តចុះជំរឿនឧបករណ៍នេសាទខុសច្បាប់ ខណៈបទល្មើសនេសាទនៅតែបន្តកើតមាន។,negative
120,pair1,ចំណុចខាងក្រោមទាំងនេះ ជាសញ្ញាបញ្ជាក់អំពីរបៀបដែលទម្លាប់ និង ស្ថានភាពកើតមានឡើងមួយចំនួន និង ដែលកើតឡើងជាទូទៅ អាចប្រើក្លាយទៅជាបញ្ហាធ្ងន់ធ្ងរ។,neutral
126,pair1,រមណីយដ្ឋាននេះលើស្ទឹងបែកជាបួន អមជាមួយនឹងសម្រស់ធម្មជាតិស្រស់ឆើតឆាយ នៃដងទន្លេកាច់កុងពត់ពេន ធ្វើឲ្យភ្ញៀវទេសចរគយគន់មិនចេះធុញទ្រាន់គ្រប់ពេលនោះទេ ដូចជា អ័ព្ទប៉ប្រះទឹកនៅពេលព្រឹក បញ្ចេញរស្មីសុរិយាក្រហមទុំដុតបញ្ឆេះរាត្រីអន្ធការឲ្យមានពន្លឺ និងជាកន្លែងស្ងប់សុខសម្រាប់អ្នកចង់បន្ធូរអារម្មណ៍តានតឹងពី ការងារ។,positive
127,pair1,បច្ចុប្បន្នពិធីបុណ្យភ្ជុំបិណ្ឌ ត្រូវបានប្រជាពលរដ្ឋខ្មែរប្រារព្ធឡើងជារៀងរាល់ឆ្នាំ គឺចាប់ពីថ្ងៃ១រោច ខែភទ្របទ រហូតដល់ថ្ងៃ១៥រោច ខែភទ្របទ ដែលត្រូវនឹងខែកញ្ញា ។,positive
130,pair1,AISPP ក៏ជាសមាជិកមួយនៃសមាគមសាលារៀនអូស្ត្រាលីអន្តរជាតិ (the Australian International School Association) (AISA) ហើយយើងក៏ជាដៃគូសកលជាមួយនឹងសមាគមសាលារៀនឯកជននៃរដ្ឋ New South Wales ប្រទេសអូស្តរាលី (the Association of Independent Schools of New South Wales) ផងដែរ ។,positive
131,pair1,មានអ្វីជាច្រើនដែលយើងអាចរៀនបានពីប្រទេសដទៃដូចជាប្រទេសហ្វាំងឡង់ដែលបានបោះជំហានយ៉ាងធំនៅក្នុងការផ្លាស់ប្តូរការអប់រំ។,positive
132,pair1,"គិតមកត្រឹមឆ្នាំ២០១៤ ចំនួនប្រជាជនកម្ពុជាដែលកំពុងធ្វើការងារ ទាំងស្របច្បាប់ និងមិនស្របច្បាប់ នៅក្រៅប្រទេស បានរីកធំធាត់ដល់ជាង ៦០០,០០០នាក់។",positive
134,pair1,ទន្ទឹមនឹងនោះ សេចក្តីថ្លែងការណ៍ក៏បានសំដៅទៅលើការហ្វឹកហាត់រួមគ្នានៃយន្តហោះចម្បាំង F-35A នៅក្នុងខែកក្កដា និងការដាក់ពង្រាយនាពេលខាងមុខនៃនាវាចម្បាំង USS Ronald Reagan Carrier Strike Group នៅក្នុងតំបន់ ដើម្បីជាការបង្ហាញពីការប្តេជ្ញាចិត្តរបស់សហរដ្ឋអាម៉េរិក។,positive
136,pair1,តើទេពកោសល្យអ្វី ដែលអាចធ្វើឲ្យប្រទេសជិតខាង ទទួលយកសំណូមពរដោយបញ្ជូនកងទ័ពស្មគ្រ័ចិត្តវៀតណាមគៀកស្មារជាមួយកងទ័ពរណសិរ្សរំដោះប្រជាជនកម្ពុជា រហូតទទួលបានជោគជ័យលើរបបប៉ុលពត?,neutral
140,pair1,ទូលព្រះបាទយើងអាចប្តូរប្រាក់បាន,neutral
141,pair1,ក្នុងសន្និសីទសារព័ត៌មាននៅថ្ងៃនេះ មន្ត្រីក្រសួងយុត្តិធម៌៨រូប រួមទាំងអ្នកនាំពាក្យក្រសួងនេះ គឺលោក ជិន ម៉ាលីន បានលើកឡើងពីសមទ្ធផលជាច្រើនដែលក្រសួងបានខំប្រឹងប្រែង និងធ្វើកំណែទម្រង់ប្រព័ន្ធតុលាការនាពេលកន្លងមក មកដល់បច្ចុប្បន្ន។,positive
143,pair1,អាជ្ញាធរត្រូវយកចិត្តទុក ដាក់ដោះស្រាយជម្លោះដីធ្លីជូនប្រជាពលរដ្ឋអោយបានរហ័ស និងមានប្រសិទ្ធិភាព ជាពិសេសការដោះស្រាយក្រៅប្រព័ន្ធតុលាការអោយបានច្រើន ដោយមិនត្រូវលំអៀងខាងភាគីណានោះទេត្រូវឈរនៅកណ្តាល ដើម្បីបម្រើផលប្រយោជន៍ទាំងសងខាង។,negative
144,pair1,បើយោងតាមលោក វណ្ណា បច្ចុប្បន្ននេះក្រៅពីរាជធានីភ្នំពេញ និងខេត្តព្រះសីហនុ វិស័យអចលនទ្រព្យ និងសំណង់ ក៏បាននិងកំពុងឈានឆ្ពោះទៅខេត្តមានសក្តានុពលមួយចំនួនដូចជា កំពត កែប កោះកុង បាត់ដំបង សៀមរាប និងកំពង់ចាម ជាដើម។,positive
145,pair1,លោកបានបន្ថែមថា រថយន្តបានឆ្លងកាត់ប្រទេសប៊ុលហ្គារី ហ្សកហ្ស៊ី អាមេនី អូសេទីខាងជើង និងតំបន់ Krasnodar របស់រុស្ស៊ី មុនពេលមកដល់លើស្ពាន។,neutral
151,pair1,គោលដៅនេះផ្តោតលើទិដ្ឋភាពយ៉ាងទូលំទូលាយ រួមមានអត្រាមរណភាព ចំនួននៃការឆ្លងជំងឺជាច្រើន ការប្រើប្រាស់ថ្នាំជក់ អត្រានៃការធ្វើអត្តឃាត ការស្លាប់តាមដងផ្លូវ និងការទទួលបានសេវាសុខភាពចាំបាច់ និងផែនការគ្រួសារ។,positive
152,pair1,គេវាយតម្លៃថាតំបន់ផ្នូរបុរាណនេះមានសាកសពជាលក្ខណៈម៉ាមមីរហូតដល់ជាងមួយលានឯណោះហើយកប់ក្នុងផ្នូរធ្វើអំពីថ្មកំបោរក្នុងជំរៅដល់ជិត៣០ម៉ែត្រទៅក្រោមកាលសម័យនោះ។,neutral
154,pair1,ម្ចាស់គ្លីនីកមេត្តានៅរាជធានីភ្នំពេញ លោកវេជ្ជបណ្ឌិត ហ៊ាង រតនា មានប្រសាសន៍ប្រាប់វិទ្យុអាស៊ីសេរីថា អ្នកប្រើប្រាស់បារីអេឡិចត្រូនិច មានផលវិបាកធ្ងន់ធ្ងរដល់សុខភាព ដូចជាអ្នកជក់បារីផងដែរ។,negative
156,pair1,សម្រាមច្រើនពេកដឹង ខ្លាចគេឃើញ,neutral
158,pair1,កាលពីខែមិថុនា ព្រះតេជគុណ គូ សុភាព អ្នកនាង ខាត់ សុឃីម បានទៅលេងផ្ទះ ថៅកែតែគុជ Boba Tea ដែរ។,neutral
160,pair1,បន្លែដែលមានស្លឹកពណ៌បៃតងដូចជាស្ពៃចង្កឹះ និងខាត់ណាក៏ជាប្រភពផ្តល់នូវ folate ដ៏ល្អបំផុតដែរ។,positive
162,pair1,ប៉ុន្តែចាប់ពីបិណ្ឌទី ៤ ទៅដើម្បីរក្សានូវជីវិតរក្សាកុំឲ្យមានការរាលដាលនៃជំងឺឆ្លងដ៏កាចសាហាវនេះសម្តេចក៏បានចេញបញ្ជាមិន ឲ្យមានការជួបជុំដើម្បីការពារការឆ្លងកូវីដ១៩ និងស្លាប់ដោយសារកូវីដ។,negative
168,pair1,លោកយល់ឃើញថា ពលរដ្ឋ ដែលផ្ទុកមេរោគអេដស៍ គឺងាយរងគ្រោះបំផុត ហើយការយកចិត្តទុកដាក់របស់អាជ្ញាធរជារឿងសំខាន់៖ «ត្រូវតែបង្កើនការយកចិត្តទុកដាក់លើពួកគាត់ ហើយពួកគាត់ ដែលមានផ្ទុកមេរោគអេដស៍ហ្នឹង គឺពួកគាត់ឥឡូវ ក៏កាន់តែវ័យចាស់ៗ ជរាហើយ។,negative
171,pair1,យោងតាម អារ៉ាប៊ីសាអូឌីត ដែលជាមេដឹកនាំរបស់ក្រុមនេះ បានអះអាងថា៖«ការកាត់បន្ថយការផ្គត់ផ្គង់ប្រេងស្មើនឹងប្រហែល ២ ភាគរយនៃការផ្គត់ផ្គង់ប្រេងទូទាំងពិភពលោក គឺជាការឆ្លើយតបទៅនឹងកំណើនអត្រាការប្រាក់នៅលោកខាងលិច និងការធ្លាក់ចុះនៃសេដ្ឋកិច្ចពិភពលោក»។,negative
173,pair1,អង្គការអន្តរជាតិអំពាវនាវប្រទេសជាសមាជិកអង្គការសហប្រជាជាតិ កុំបោះឆ្នោតគាំទ្របេក្ខភាពវៀតណាម ជាសមាជិកក្រុមប្រឹក្សាសិទ្ធិមនុស្ស,negative
176,pair1,នារសៀលថ្ងៃទី១៦ មិថុនា នៅទីក្រុង New Delhi ប្រទេសឥណ្ឌា រដ្ឋមន្ត្រីការបរទេសវៀតណាមលោក Bui Thanh Son បានអញ្ជើញចូលរួមសម័យពិភាក្សាថ្នាក់រដ្ឋមន្ត្រីការបរទេសស្តីពីរយៈពេល ៣០ ឆ្នាំ នៃទំនាក់ទំនងអាស៊ាន-ឥណ្ឌា ក្នុងក្របខ័ណ្ឌនៃកិច្ចសន្ទនា Delhi លើកទី ១២ ដោយប្រធានបទ “កសាងស្ពានតភ្ជាប់មហាសមុទ្រឥណ្ឌា-ប៉ាស៊ីហ្វិក”។,neutral
179,pair1,ចាស់ៗគឺបែបនេះ គាត់ធ្វើផ្ទះធំគឺដើម្បីអោយកូននិងចៅៗគាត់មកជួបជុំគ្នាប្រកបដោយភាពរីករាយនិងមានសេចក្តីសុខ,positive
182,pair1,ហេតុនេះ ទ្រង់ប្រោសប្រទាន ព្រះរាជវិនិច្ឆ័យថា : ក្របីដែលស្លាប់នេះ ទុកជាកម្មរបស់សត្វចុះយើងនឹងយកទោសពញាជ័យមិនបានទេ។,neutral
184,pair1,ទុករយៈពេល ២០-៣០ នាទី បន្ទាប់ត្រូវលាងអំបិលចេញ មុនពេលដាំស្លរ។,neutral
185,pair1,បច្ចុប្បន្នមានគំរូសាលាជំនាន់ថ្មីសាកល្បងប្រមាណ ១១ សាលាដែលកំពុងដំណើរការនៅទូទាំងប្រទេសដោយមានគោលដៅពង្រីកគំរូដល់ ១០០ សាលានៅឆ្នាំ ២០២២ ។,neutral
193,pair1,លោកផន សុភី រស់នៅសង្កាត់ ទឹកវិល ក្រុងសៀមរាប បានឱ្យដឹងថា លោកបានចាប់ផ្តើមការងារដាំដុះដំណាំកាកាវរយៈ ពេល២ឆ្នាំមកហើយ តាមរយៈការចុះកិច្ចសន្យាដាំដុះជាមួយក្រុមហ៊ុនមួយ ដែលប្រមូលទិញវិញនូវផ្លែកាកាវ ដែលលោក និងកសិករដទៃទៀតប្រមូលផលបាន ក្នុងតម្លៃមួយច្បាស់លាស់។,neutral
199,pair1,គាត់ជិះកង់ឌុបគ្នាឆ្ងាយដែរពីទួលសង្កែទៅសាលាឥន្ទរទេវី សព្វថ្ងៃនេះកូនស្រីច្បងដែលគ្នាមានអាយុទើបតែ ១៣ ឆ្នាំ តែត្រូវមករ៉ាប់រងគ្រួសារទៅវិញ។,negative
200,pair1,កែវភ្នែកមូលថ្លាសម្លឹងគេដោយក្តីសង្ឃឹមថានឹងបានឃើញអ្វីដែលហៅថាហទយវត្ថុនោះ,positive
202,pair2,នេះជាការអះអាងរបស់អ្នកនាំពាក្យក្រសួងអប់រំ។,neutral
203,pair2,ថ្លែងតាមកាមេរ៉ា លោក Bastrykin បាននិយាយថា ក្រុមអ្នកស៊ើបអង្កេតបានបង្កើតផ្លូវដែលរថយន្តនោះបានធ្វើដំណើរ និងបុគ្គលដែលពាក់ព័ន្ធនឹងចលនារបស់វា។,neutral
